GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paymybuddy,com.app.paymybuddy.controller,AuthController,0,35,0,2,0,10,0,4,0,3
paymybuddy,com.app.paymybuddy.controller,UserController,0,35,0,2,0,9,0,3,0,2
paymybuddy,com.app.paymybuddy.controller,RelationController,0,30,0,2,0,8,0,3,0,2
paymybuddy,com.app.paymybuddy.controller,TransferController,0,59,0,2,0,16,0,4,0,3
paymybuddy,com.app.paymybuddy.exception,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.app.paymybuddy.exception,RelationAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.app.paymybuddy.exception,HandleException,0,106,0,16,0,26,0,13,0,5
paymybuddy,com.app.paymybuddy.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.app.paymybuddy.exception,InsufficientBalanceException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.app.paymybuddy.security,CustomUserDetails,0,32,0,0,0,11,0,9,0,9
paymybuddy,com.app.paymybuddy.security,CustomUserDetailsService,0,18,0,0,0,4,0,2,0,2
paymybuddy,com.app.paymybuddy.service,BankAccountService,0,17,0,0,0,5,0,1,0,1
paymybuddy,com.app.paymybuddy.service,RegisterService,0,45,0,0,0,13,0,3,0,3
paymybuddy,com.app.paymybuddy.service,UserService,0,90,0,10,0,22,0,9,0,4
paymybuddy,com.app.paymybuddy.service,TransactionService,0,239,0,8,0,60,0,14,0,10
paymybuddy,com.app.paymybuddy.service,RelationService,0,79,0,4,0,24,0,8,0,6
paymybuddy,com.app.paymybuddy.model,Relation,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.app.paymybuddy.model,Transaction,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.app.paymybuddy.model,User,0,8,0,0,0,4,0,2,0,2
paymybuddy,com.app.paymybuddy.model,BankAccount,0,8,0,0,0,4,0,2,0,2
paymybuddy,com.app.paymybuddy.config,SecurityConfig,0,91,0,0,0,23,0,6,0,6
paymybuddy,com.app.paymybuddy,PaymybuddyApplication,0,8,0,0,0,3,0,2,0,2
paymybuddy,com.app.paymybuddy.util,ModelAttributes,0,46,0,0,0,11,0,2,0,2
